ฉันพูด คุณฟังเข้าใจไหม	chan pood khun fang khao jai mai	chanˊ pūtˋ kun fang kāuˋ jai maiˊ	我說，你聽得懂嗎	engine-auto	
ไม่ค่อยเข้าใจ	mai khoi khao jai	maiˋ kɔ̄iˋ kāuˋ jai	不太懂	engine-auto	
อ่าน	aan	ānˇ	讀	engine-auto	
อ่านภาษาไทย	aan pasa thai	ānˇ pā sāˊ tai	讀泰文	engine-auto	
อ่านออกไหม	aan ok mai	ānˇ ɔ̄kˇ maiˊ	讀得出來嗎	engine-auto	
ออก	ok	ɔ̄kˇ	出、出來	engine-auto	
อ่านออกไหม	aan ok mai	ānˇ ɔ̄kˇ maiˊ	讀得出來嗎	engine-auto	
อ่านไม่ออก	aan mai ok	ānˇ maiˋ ɔ̄kˇ	讀不出來	engine-auto	
อ่านไม่เป็น	aan mai pen	ānˇ maiˋ ben	不會讀	engine-auto	
เป็น	pen	ben	會、是	book-exact	(book-exact已用引擎重新驗證)
อ่านไม่เป็น	aan mai pen	ānˇ maiˋ ben	不會讀	engine-auto	
เขียน	khian	kīanˊ	寫	engine-auto	
เขียนสวย	khian suay	kīanˊ sūayˊ	寫得漂亮	engine-auto	
เขียนไม่สวย	khian mai suay	kīanˊ maiˋ sūayˊ	寫得不漂亮	engine-auto	
ยาก	yaak	yākˋ	難	engine-auto	
เขียนยาก	khian yaak	kīanˊ yākˋ	很難寫	engine-auto	
เขียนไม่เป็น	khian mai pen	kīanˊ maiˋ ben	不會寫	engine-auto	
เขียนได้ไหม	khian dai mai	kīanˊ dhaiˋ maiˊ	可以寫嗎	engine-auto	
ได้	dai	dhaiˋ	可以、得到	engine-auto	
เขียนได้ไหม	khian dai mai	kīanˊ dhaiˋ maiˊ	可以寫嗎	engine-auto	
เขียนชื่อ	khian chue	kīanˊ chɯ̄ˋ	寫名字	engine-auto	
ทำ	tam	tam	做、弄	engine-auto	
ชอบ	chop	chɔ̄pˋ	喜歡	engine-auto	
ทำ	tam	tam	做、弄	engine-auto	
อะไร	arai	aˇ rai	什麼	engine-auto	
ชอบทำอะไร	chop tam arai	chɔ̄pˋ tam aˇ rai	喜歡做什麼	engine-auto	
อยาก	yaak	yākˋ	想要	engine-auto	
อยากทำอะไร	yaak tam arai	yākˋ tam aˇ rai	想做什麼	engine-auto	
ทำเป็นไหม	tam pen mai	tam ben maiˊ	會做嗎	engine-auto	
ไข่เจียว	kai jiao	kaiˇ jīau	泰式煎蛋	engine-auto	
ทำไข่เจียวเป็นไหม	tam kai jiao pen mai	tam kaiˇ jīau ben maiˊ	會做泰式煎蛋嗎	engine-auto	
เป็นค่ะ	pen kha	ben kaˋ	會／是（女）	engine-auto	
ทำไม่เป็น	tam mai pen	tam maiˋ ben	不會做	engine-auto	
ใช้เวลา	chai welaa	chai~ wē lā	花時間	engine-auto	
ใช้	chai	chai~	用、使用	engine-auto	
เวลา	welaa	wē lā	時間	engine-auto	
ทำ	tam	tam	做、弄	engine-auto	
นานเท่าไหร่	naan thao rai	nān tāuˋ raiˇ	多久	engine-auto	
ใช้เวลาทำนานเท่าไหร่	chai welaa tam naan thao rai	chai~ wē lā tam nān tāuˋ raiˇ	做這個要多久	engine-auto	
ห้านาที	haa natee	hāˋ nā tī	五分鐘	engine-auto	
ใช้เวลาทำห้านาที	chai welaa tam haa natee	chai~ wē lā tam hāˋ nā tī	做要五分鐘	engine-auto	
ซื้อ	seu	sɯ̄~	買	engine-auto	
ซื้อยา	seu yaa	sɯ̄~ yā	買藥	engine-auto	
ซื้อน้ำ	seu nam	sɯ̄~ nām~	買水	engine-auto	
น้ำ	nam	nām~	水	engine-auto	
ซื้อน้ำ	seu nam	sɯ̄~ nām~	買水	engine-auto	
ขนม	khanom	kaˇ nom	點心、零食	engine-auto	
ซื้อขนม	seu khanom	sɯ̄~ kaˇ nom	買點心	engine-auto	
ซื้อ	seu	sɯ̄~	買	engine-auto	
ต่อ	tor	dɔ̄ˇ	繼續	engine-auto	
เดินต่อ	dern tor	dhə̄n dɔ̄ˇ	繼續走	engine-auto	
นอน	non	nɔ̄n	睡覺	book-exact	(book-exact已用引擎重新驗證)
นอนต่อ	non tor	nɔ̄n dɔ̄ˇ	繼續睡	engine-auto	
นอนต่อได้ไหม	non tor dai mai	nɔ̄n dɔ̄ˇ dhaiˋ maiˊ	可以繼續睡嗎	engine-auto	
ไม่ได้แล้ว	mai dai laew	maiˋ dhaiˋ lɛ̄u~	不行了	engine-auto	
กินต่อ	gin tor	gin dɔ̄ˇ	繼續吃	engine-auto	
อยากกินต่อ	yaak gin tor	yākˋ gin dɔ̄ˇ	想繼續吃	engine-auto	
หรือ	reu	rɯ̄ˊ	或	engine-auto	
กาแฟร้อนหรือกาแฟเย็น	gaafae ron reu gaafae yen	gā fɛ̄ rɔ̄n~ rɯ̄ˊ gā fɛ̄ yen	熱咖啡還是冰咖啡	engine-auto	
ไก่ทอด	gai tod	gaiˇ tɔ̄tˋ	炸雞	book-exact	(book-exact已用引擎重新驗證)
ทอด	tod	tɔ̄tˋ	炸	engine-auto	
ไก่ย่าง	gai yang	gaiˇ yāngˋ	烤雞	engine-auto	
ย่าง	yang	yāngˋ	烤	engine-auto	
ไก่ทอดหรือไก่ย่าง	gai tod reu gai yang	gaiˇ tɔ̄tˋ rɯ̄ˊ gaiˇ yāngˋ	炸雞還是烤雞	engine-auto	
นั่งแท็กซี่หรือนั่งรถไฟฟ้า	nang taxi reu nang rot fai fa	nangˋ tɛk~ sīˋ rɯ̄ˊ nangˋ rot~ fai fā~	搭計程車還是坐捷運	engine-auto	
หรือ	reu	rɯ̄ˊ	或	engine-auto	
หรือ	reu	rɯ̄ˊ	或	engine-auto	
หรือเปล่า	reu plao	rɯ̄ˊ blāuˇ	嗎	engine-auto	
หิว	hiw	hiwˊ	餓	engine-auto	
หิวหรือเปล่า	hiw reu plao	hiwˊ rɯ̄ˊ blāuˇ	餓嗎	engine-auto	
สดหรือเปล่า	sot reu plao	sotˇ rɯ̄ˊ blāuˇ	新鮮嗎	engine-auto	
สด	sot	sotˇ	新鮮	engine-auto	
น้ำหอม	nam hom	nām~ hɔ̄mˊ	香水	engine-auto	
หอมหรือเปล่า	hom reu plao	hɔ̄mˊ rɯ̄ˊ blāuˇ	香嗎	engine-auto	
เหนื่อย	nueai	nɯ̄aiˇ	累	engine-auto	
เหนื่อยหรือเปล่า	nueai reu plao	nɯ̄aiˇ rɯ̄ˊ blāuˇ	累嗎	engine-auto	
เหนื่อยไหม	nueai mai	nɯ̄aiˇ maiˊ	累嗎	engine-auto	
หนาว	nao	nāuˊ	冷、寒冷	engine-auto	
หนาวหรือเปล่า	nao reu plao	nāuˊ rɯ̄ˊ blāuˇ	冷嗎	engine-auto	
หนาวไหม	nao mai	nāuˊ maiˊ	冷嗎	engine-auto	
เหนื่อยไหม	nueai mai	nɯ̄aiˇ maiˊ	累嗎	engine-auto	
หิวไหม	hiw mai	hiwˊ maiˊ	餓嗎	engine-auto	
ไกลหรือเปล่า	glai reu plao	glai rɯ̄ˊ blāuˇ	遠嗎	engine-auto	
ไกล	glai	glai	遠	engine-auto	
ขอ	kho	kɔ̄ˊ	請、要	engine-auto	
ขอเมนูหน่อยค่ะ	kho menu noi kha	kɔ̄ˊ mē nū nɔ̄iˇ kaˋ	請給我菜單（女）	engine-auto	
ขอเมนูหน่อยครับ	kho menu noi krap	kɔ̄ˊ mē nū nɔ̄iˇ krap~	請給我菜單（男）	engine-auto	
ขอน้ำหน่อยค่ะ	kho nam noi kha	kɔ̄ˊ nām~ nɔ̄iˇ kaˋ	請給我水（女）	engine-auto	
หน่อย	noi	nɔ̄iˇ	一下、一下下	engine-auto	
ขอไลน์ได้ไหม	kho line dai mai	kɔ̄ˊ lai dhaiˋ maiˊ	可以加你 LINE 嗎	engine-auto	
ได้ไหม	dai mai	dhaiˋ maiˊ	可以嗎	engine-auto	
ขอไลน์ได้ไหม	kho line dai mai	kɔ̄ˊ lai dhaiˋ maiˊ	可以加你 LINE 嗎	engine-auto	
ขอเบอร์ได้ไหม	kho ber dai mai	kɔ̄ˊ bhə̄ dhaiˋ maiˊ	可以要電話嗎	engine-auto	
เบอร์	ber	bhə̄	號碼	engine-auto	
ขอเบอร์ได้ไหม	kho ber dai mai	kɔ̄ˊ bhə̄ dhaiˋ maiˊ	可以要電話嗎	engine-auto	
ขอ	kho	kɔ̄ˊ	請、要	engine-auto	
คุณมาจากไหน	khun maa jak nai	kun mā jākˇ naiˊ	你從哪裡來	engine-auto	
คุณมาจากประเทศไหน	khun maa jak prathet nai	kun mā jākˇ braˇ tētˋ naiˊ	你來自哪個國家	engine-auto	
ประเทศ	prathet	braˇ tētˋ	國家	engine-auto	
มาจากไต้หวัน	maa jak taiwan	mā jākˇ daiˋ wanˊ	來自台灣	engine-auto	
มาจากอินเดีย	maa jak india	mā jākˇ in dhīa	來自印度	engine-auto	
มาจากเกาหลี	maa jak kao-lee	mā jākˇ gāu līˊ	來自韓國	engine-auto	
มาจากอิตาลี	maa jak italii	mā jākˇ iˇ dā lī	來自義大利	engine-auto	
อิตาลี	italii	iˇ dā lī	義大利	engine-auto	
มาจากอิตาลี	maa jak italii	mā jākˇ iˇ dā lī	來自義大利	engine-auto	
泰文原文	泰式karaoke拼音	泰文原文	正體中文翻譯	engine-auto	
ใคร	khrai	krai	誰	engine-auto	
ใครเอาโค้ก	khrai ao coke	krai au kōk~	誰要可樂	engine-auto	
ใครเอากาแฟร้อน	khrai ao gaa-fae rorn	krai au gā fɛ̄ rɔ̄n~	誰要熱咖啡	engine-auto	
ใครเอาชาเย็น	khrai ao chaa yen	krai au chā yen	誰要冰茶	engine-auto	
ใครเอาข้าวผัดปู	khrai ao khaao phat puu	krai au kāuˋ patˇ bū	誰要蟹肉炒飯	engine-auto	
ใครเอาซาลาเปา	khrai ao sa-la-bao	krai au sā lā bāu	誰要包子	engine-auto	
ใครทำสุกี้	khrai tham suki	krai tam suˇ gīˋ	是誰做火鍋	engine-auto	
ใครทำเค้ก	khrai tham cake	krai tam kēk~	誰做蛋糕	engine-auto	
ฉันทำ	chan tham	chanˊ tam	我做	engine-auto	
ไม่มีคน	mai mii khon	maiˋ mī kon	沒有人	engine-auto	
ไม่มีใคร	mai mii khrai	maiˋ mī krai	沒有人／沒有誰	engine-auto	
ไม่มีใครกินเผ็ด	mai mii khrai kin phet	maiˋ mī krai gin petˇ	沒有人吃辣	engine-auto	
ไม่มีใครเอาชาร้อน	mai mii khrai ao chaa rorn	maiˋ mī krai au chā rɔ̄n~	沒有人要熱茶	engine-auto	
ชอบ	chop	chɔ̄pˋ	喜歡	engine-auto	
ไม่มีใครชอบ	mai mii khrai chop	maiˋ mī krai chɔ̄pˋ	沒有人喜歡	engine-auto	
ไม่มีใครพูดภาษาไทยเป็น	mai mii khrai phuut phasaa thai pen	maiˋ mī krai pūtˋ pā sāˊ tai ben	沒有人會說泰文	engine-auto	
พูดภาษาไทยเป็น	phuut phasaa thai pen	pūtˋ pā sāˊ tai ben	會說泰文	engine-auto	
ไม่มีใครไปเมืองไทย	mai mii khrai pai mueang thai	maiˋ mī krai bai mɯ̄ang tai	沒有人去泰國	engine-auto	
ไม่มีใครไปประเทศไทย	mai mii khrai pai prathet thai	maiˋ mī krai bai braˇ tētˋ tai	沒有人去泰國	engine-auto	
เมืองไทย	mueang thai	mɯ̄ang tai	泰國	engine-auto	
ของ	khong	kɔ̄ngˊ	的	engine-auto	
ของใคร	khong khrai	kɔ̄ngˊ krai	誰的	engine-auto	
เบียร์ของใคร	bia khong khrai	bhīa kɔ̄ngˊ krai	啤酒是誰的	engine-auto	
ของผม	khong phom	kɔ̄ngˊ pomˊ	我的 (男性)	engine-auto	
ของฉัน	khong chan	kɔ̄ngˊ chanˊ	我的 (女性)	engine-auto	
ผัดไทยของผม	phat thai khong phom	patˇ tai kɔ̄ngˊ pomˊ	泰式炒河粉是我的 (男性)	engine-auto	
ผัดไทยของฉัน	phat thai khong chan	patˇ tai kɔ̄ngˊ chanˊ	泰式炒河粉是我的 (女性)	engine-auto	
ต้มยำกุ้งของฉัน	tom yam kung khong chan	domˋ yam gungˋ kɔ̄ngˊ chanˊ	酸辣蝦湯是我的 (女性)	engine-auto	
ของผมไม่เอาเผ็ด	khong phom mai ao phet	kɔ̄ngˊ pomˊ maiˋ au petˇ	我的不要辣 (男性)	engine-auto	
ไม่เอา	mai ao	maiˋ au	不要	engine-auto	
เผ็ด	phet	petˇ	辣	engine-auto	
ของผมไม่เอาน้ำแข็ง	khong phom mai ao nam khaeng	kɔ̄ngˊ pomˊ maiˋ au nām~ kɛngˊ	我的不要冰塊 (男性)	engine-auto	
ไม่ใส่น้ำแข็ง	mai sai nam khaeng	maiˋ saiˇ nām~ kɛngˊ	不加冰塊	engine-auto	
ของผมไม่ใส่น้ำแข็ง	khong phom mai sai nam khaeng	kɔ̄ngˊ pomˊ maiˋ saiˇ nām~ kɛngˊ	我的不加冰塊 (男性)	engine-auto	
ของ	khong	kɔ̄ngˊ	的；東西、物品	engine-auto	
ของเผ็ด	khong phet	kɔ̄ngˊ petˇ	辣的食物	engine-auto	
กินของเผ็ดไม่ได้	kin khong phet mai dai	gin kɔ̄ngˊ petˇ maiˋ dhaiˋ	不能吃辣的食物	engine-auto	
ของทอด	khong thot	kɔ̄ngˊ tɔ̄tˋ	炸物	engine-auto	
ชอบกินของทอดไหม	chop kin khong thot mai	chɔ̄pˋ gin kɔ̄ngˊ tɔ̄tˋ maiˊ	喜歡吃炸物嗎？	engine-auto	
ชอบมาก	chop maak	chɔ̄pˋ mākˋ	非常喜歡	engine-auto	
ของหวาน	khong waan	kɔ̄ngˊ wānˊ	甜食	engine-auto	
กินของหวาน	kin khong waan	gin kɔ̄ngˊ wānˊ	吃甜食	engine-auto	
ของญี่ปุ่น	khong yiipun	kɔ̄ngˊ yīˋ bunˇ	日本貨	engine-auto	
ของไทย	khong thai	kɔ̄ngˊ tai	泰國貨	engine-auto	
ของเยอรมัน	khong yoe-ra-man	kɔ̄ngˊ yə̄n man	德國貨	engine-auto	
ของกิน	khong kin	kɔ̄ngˊ gin	吃的東西	engine-auto	
กิน	kin	gin	吃	book-exact	(book-exact已用引擎重新驗證)
ของใช้	khong chai	kɔ̄ngˊ chai~	用的東西	engine-auto	
ใช้	chai	chai~	用	engine-auto	
กี่ที่คะ	gii thii kha	gīˇ tīˋ ka~	幾位？	engine-auto	
ผู้ใหญ่	phuu yai	pūˋ yaiˇ	大人	engine-auto	
ผู้ใหญ่สาม	phuu yai saam	pūˋ yaiˇ sāmˊ	大人三位	engine-auto	
เด็ก	dek	dhekˇ	小孩	engine-auto	
เด็กสอง	dek song	dhekˇ sɔ̄ngˊ	小孩兩位	engine-auto	
ผู้ใหญ่สาม เด็กสอง	phuu yai saam dek song	pūˋ yaiˇ sāmˊ dhekˇ sɔ̄ngˊ	三大兩小	engine-auto	
ผู้ใหญ่สี่ เด็กสาม	phuu yai sii dek saam	pūˋ yaiˇ sīˇ dhekˇ sāmˊ	四大三小	engine-auto	
ปู่	puu	būˇ	爺爺	engine-auto	
ย่า	yaa	yāˋ	奶奶	engine-auto	
ปู่ย่า	puu yaa	būˇ yāˋ	爺爺奶奶	engine-auto	
ปู่ย่าอายุเท่าไหร่	puu yaa aa-yu thao-rai	būˇ yāˋ ā yu~ tāuˋ raiˇ	爺爺奶奶幾歲了？	engine-auto	
ตา	taa	dā	外公	engine-auto	
ยาย	yaai	yāi	外婆	engine-auto	
ตายาย	taa yaai	dā yāi	外公外婆	engine-auto	
ปู่ย่าตายาย	puu yaa taa yaai	būˇ yāˋ dā yāi	爺爺奶奶外公外婆	engine-auto	
ตายายมาจากเมืองจีน	taa yaai maa jaak mueang jiin	dā yāi mā jākˇ mɯ̄ang jīn	外公外婆來自中國	engine-auto	
พ่อ	phor	pɔ̄ˋ	爸爸	book-exact	(book-exact已用引擎重新驗證)
แม่	mae	mɛ̄ˋ	媽媽	book-exact	(book-exact已用引擎重新驗證)
พ่อแม่	phor mae	pɔ̄ˋ mɛ̄ˋ	父母	engine-auto	
ผม	phom	pomˊ	我 (男性)	engine-auto	
ฉัน	chan	chanˊ	我 (女性)	engine-auto	
แม่น้ำ	mae naam	mɛ̄ˋ nām~	河	engine-auto	
แม่น้ำเจ้าพระยา	mae naam jao phra yaa	mɛ̄ˋ nām~ jāuˋ pra~ yā	昭披耶河	engine-auto	
นี่แม่น้ำอะไร	nii mae naam a-rai	nīˋ mɛ̄ˋ nām~ aˇ rai	這是什麼河？	engine-auto	
แม่น้ำนี้ชื่ออะไร	mae naam nii chue a-rai	mɛ̄ˋ nām~ nī~ chɯ̄ˋ aˇ rai	這條河叫什麼名字？	engine-auto	
แม่น้ำปิง	mae naam ping	mɛ̄ˋ nām~ bing	屏河	engine-auto	
บ้าน	baan	bhānˋ	房子、家	engine-auto	
บ้านของคุณ	baan khong khun	bhānˋ kɔ̄ngˊ kun	你的家	engine-auto	
บ้านของคุณอยู่ที่ไหน	baan khong khun yuu thii nai	bhānˋ kɔ̄ngˊ kun yūˋ tīˋ naiˊ	你家在哪裡？	engine-auto	
แม่บ้าน	mae baan	mɛ̄ˋ bhānˋ	女傭、家庭主婦	book-exact	(book-exact已用引擎重新驗證)
ฉันเป็นแม่บ้าน	chan pen mae baan	chanˊ ben mɛ̄ˋ bhānˋ	我是家庭主婦	engine-auto	
พ่อตา	phor taa	pɔ̄ˋ dā	岳父	engine-auto	
แม่ยาย	mae yaai	mɛ̄ˋ yāi	岳母	engine-auto	
สามี	saa mii	sāˊ mī	丈夫	engine-auto	
สามีของฉัน	saa mii khong chan	sāˊ mī kɔ̄ngˊ chanˊ	我的先生	engine-auto	
สามีฉัน	saa mii chan	sāˊ mī chanˊ	我先生	engine-auto	
ลูกชาย	luuk chaai	lūkˋ chāi	兒子	engine-auto	
ลูก	luuk	lūkˋ	孩子、(量詞)顆	book-exact	(book-exact已用引擎重新驗證)
ลูกละเท่าไหร่	luuk la thao-rai	lūkˋ la~ tāuˋ raiˇ	一顆多少錢？	engine-auto	
ชาย	chaai	chāi	男	engine-auto	
ลูกสาว	luuk saao	lūkˋ sāuˊ	女兒	engine-auto	
สาว	saao	sāuˊ	女	engine-auto	
เมีย	mia	mīa	老婆 (口語)	engine-auto	
เมียน้อย	mia noi	mīa nɔ̄i~	小老婆	engine-auto	
น้อย	noi	nɔ̄i~	小、少	engine-auto	
เมียเช่า	mia chao	mīa chāuˋ	租妻	engine-auto	
เช่า	chao	chāuˋ	租	engine-auto	
เช่ารถ	chao rot	chāuˋ rot~	租車	engine-auto	
หวานน้อย	waan noi	wānˊ nɔ̄i~	少糖	engine-auto	
ชาเย็นหวานน้อย	chaa yen waan noi	chā yen wānˊ nɔ̄i~	冰茶少糖	engine-auto	
เผ็ดน้อย	phet noi	petˇ nɔ̄i~	小辣	engine-auto	
กะเพราหมู	ga-phrao muu	gaˇ prāu mūˊ	打拋豬	engine-auto	
กะเพราหมูเผ็ดน้อย	ga-phrao muu phet noi	gaˇ prāu mūˊ petˇ nɔ̄i~	打拋豬小辣	engine-auto	
คนน้อย	khon noi	kon nɔ̄i~	人少	engine-auto	
กินน้อย	kin noi	gin nɔ̄i~	吃得少	engine-auto	
นอนน้อย	non noi	nɔ̄n nɔ̄i~	睡得少	engine-auto	
เช่าบ้าน	chao baan	chāuˋ bhānˋ	租房子	engine-auto	
ห้อง	hong	hɔ̄ngˋ	房間	book-exact	(book-exact已用引擎重新驗證)
เช่าห้อง	chao hong	chāuˋ hɔ̄ngˋ	租房間	engine-auto	
เช่ามอเตอร์ไซค์	chao motor-sai	chāuˋ mɔ̄ də̄ sai	租摩托車	engine-auto	
泰文	泰式karaoke拼音	泰文	中文	engine-auto	
แม่	mae	mɛ̄ˋ	媽媽	book-exact	(book-exact已用引擎重新驗證)
พ่อ	phor	pɔ̄ˋ	爸爸	book-exact	(book-exact已用引擎重新驗證)
ลูกสาว	luuk saao	lūkˋ sāuˊ	女兒	engine-auto	
ลูกชาย	luuk chaai	lūkˋ chāi	兒子	engine-auto	
หลาน	laan	lānˊ	孫子/孫女/外甥/外甥女	engine-auto	
หลานสาว	laan saao	lānˊ sāuˊ	孫女/外甥女	engine-auto	
หลานชาย	laan chaai	lānˊ chāi	孫子/外甥	engine-auto	
ล้าน	laan	lān~	百萬	engine-auto	
ร้าน	raan	rān~	商店	book-exact	(book-exact已用引擎重新驗證)
พี่	phii	pīˋ	哥哥/姐姐	engine-auto	
พี่สาว	phii saao	pīˋ sāuˊ	姐姐	engine-auto	
พี่ชาย	phii chaai	pīˋ chāi	哥哥	engine-auto	
พี่	phii	pīˋ	（稱呼）大哥/大姐	engine-auto	
พี่คะ / พี่ครับ	phii kha / phii krap	pīˋ ka~ / pīˋ krap~	大哥/大姐（稱呼語氣詞）	engine-auto	
ขอเมนูหน่อย	kho menu noi	kɔ̄ˊ mē nū nɔ̄iˇ	請給我菜單	engine-auto	
พี่ๆ	phii phii	pīˋ pīˋ	（重複呼叫）大哥/大姐	engine-auto	
เจ๊	jeh	jē~	姐（來自潮州話）	engine-auto	
เจ๊หนู	jeh nu	jē~ nūˊ	奴姐	engine-auto	
เจ๊หนูเล็ก	jeh nu lek	jē~ nūˊ lek~	小奴姐	engine-auto	
น้อง	nong	nɔ̄ng~	弟弟/妹妹	engine-auto	
น้องสาว	nong saao	nɔ̄ng~ sāuˊ	妹妹	engine-auto	
น้องชาย	nong chaai	nɔ̄ng~ chāi	弟弟	engine-auto	
น้อง เก็บตังค์	nong kep tang	nɔ̄ng~ gepˇ dang	小弟/小妹，結帳	engine-auto	
น้องๆ เก็บตังค์	nong nong kep tang	nɔ̄ng~ nɔ̄ng~ gepˇ dang	（重複呼叫）小弟/小妹，結帳	engine-auto	
น้อง เท่าไหร่คะ	nong thao-rai kha	nɔ̄ng~ tāuˋ raiˇ ka~	小弟/小妹，多少錢？	engine-auto	
พี่ เท่าไหร่คะ	phii thao-rai kha	pīˋ tāuˋ raiˇ ka~	大哥/大姐，多少錢？	engine-auto	
พี่น้อง	phii nong	pīˋ nɔ̄ng~	兄弟姐妹	engine-auto	
มีพี่น้องไหม	mii phii nong mai	mī pīˋ nɔ̄ng~ maiˊ	有兄弟姐妹嗎？	engine-auto	
มีพี่น้องกี่คน	mii phii nong gii khon	mī pīˋ nɔ̄ng~ gīˇ kon	有幾個兄弟姐妹？	engine-auto	
ชาย	chaai	chāi	男	engine-auto	
ผู้ชาย	phu chaai	pūˋ chāi	男生	engine-auto	
ผู้ใหญ่	phu yai	pūˋ yaiˇ	大人	engine-auto	
ผู้หญิง	phu ying	pūˋ yingˊ	女生	engine-auto	
สาว	saao	sāuˊ	年輕女子	engine-auto	
หญิง	ying	yingˊ	女	engine-auto	
ผู้ชายไทย	phu chaai thai	pūˋ chāi tai	泰國男生	engine-auto	
ผู้ชายไต้หวัน	phu chaai taiwan	pūˋ chāi daiˋ wanˊ	台灣男生	engine-auto	
