課次	泰文	舊拼音(Sheet)	新拼音(目的達)	中文	來源	備註
初 1	หิวมาก	hiu mak	hiwˊ mākˋ	很餓	derived	
初 1	ไม่หิว	mai hiu	maiˋ hiwˊ	不餓	derived	
初 1	ไม่ค่อยหิว	mai khoi hiu	maiˋ kɔ̄iˋ hiwˊ	不太餓	derived	
初 1	หิวน้ำนิดหน่อย	hiu nam nit noi	hiwˊ nām~ nit~ nɔ̄iˇ	有一點點口渴	derived	
初 1	เวลากินข้าว	wela gin khao	wē lā gin kāuˋ	吃飯時	engine-auto	
初 1	เครื่องดื่ม	kruang duem	krɯ̄angˋ dhɯ̄mˇ	飲料	derived	
初 1	เผ็ดไหม	pet mai	petˇ maiˊ	辣嗎？	derived	
初 1	เปรี้ยว	briau	brīauˋ	酸	derived	
初 1	เค็ม	kem	kem	鹹	derived	
初 1	หวาน	wan	wānˊ	甜	derived	
初 1	หอม	hom	hɔ̄mˊ	香	derived	
初 1	สด	sot	sotˇ	新鮮	engine-auto	
初 1	อร่อย	aroi	aˇ rɔ̄iˋ	好吃	derived	
初 1	น้ำร้อน	nam ron	nām~ rɔ̄n~	熱水	derived	
初 1	น้ำเย็น	nam yen	nām~ yen	冷水	derived	
初 1	ชา	cha	chā	茶	derived	
初 1	กาแฟ	gafe	gā fɛ̄	咖啡	derived	
初 1	โกโก้	gogo	gō gōˋ	可可	derived	
初 1	โค้ก	kok	kōk~	可樂	derived	
初 1	เป๊ปซี่	pepsi	bēp~ sīˋ	百事可樂	derived	
初 1	เบียร์	bia	bhīa	啤酒	derived	
初 1	โค้กเย็น	kok yen	kōk~ yen	冰可樂	derived	
初 1	โค้กไม่เย็น	kok mai yen	kōk~ maiˋ yen	不冰的可樂	derived	
初 1	เมืองไทยไกลไหม	muang thai glai mai	mɯ̄ang tai glai maiˊ	泰國遠嗎？	derived	
初 1	เมืองจีนใหญ่ไหม	muang jin yai mai	mɯ̄ang jīn yaiˇ maiˊ	中國大嗎？	derived	
初 1	เกาหลีหนาวไหม	gao-li nao mai	gāu līˊ nāuˊ maiˊ	韓國冷嗎？	derived	
初 1	ภาษาไทยยากไหม	phasa thai yaak mai	pā sāˊ tai yākˋ maiˊ	泰語難嗎？	derived	
初 1	ไทย	thai	tai	泰國	derived	
初 1	จีน	jin	jīn	中國	derived	
初 1	ลาว	lao	lāu	寮國	derived	
初 1	พม่า	pa ma	pa~ māˋ	緬甸	derived	
初 1	อินเดีย	india	in dhīa	印度	derived	
初 1	ญี่ปุ่น	yi bun	yīˋ bunˇ	日本	derived	
初 1	เกาหลี	gaoli	gāu līˊ	韓國	derived	
初 1	ไต้หวัน	dai wan	daiˋ wanˊ	台灣	derived	
初 1	เวียดนาม	viat nam	wīatˋ nām	越南	derived	
初 1	กัมพูชา	gam pu cha	gam pū chā	柬埔寨	derived	
初 1	มาเลเซีย	malesia	mā lē sīa	馬來西亞	derived	
初 1	สิงคโปร์	sing kabo	singˊ kaˇ bō	新加坡	derived	
初 1	ฟิลิปปินส์	filippin	fi~ lip~ bin	菲律賓	derived	
初 1	อินโดนีเซีย	indonesia	in dhō nī sīa	印尼	derived	
初 1	อิตาลี	itali	iˇ dā lī	義大利	derived	
初 1	ฝรั่งเศส	farang set	faˇ rangˋ sētˇ	法國	derived	
初 1	เยอรมัน	yerman	yə̄ ra~ man	德國	derived	
初 1	อังกฤษ	angkrit	ang gritˇ	英國	derived	
初 1	อเมริกา	ameriga	aˇ mē ri~ gā	美國	derived	
初 1	สเปน	sa ben	saˇ bēn	西班牙	derived	
初 1	แคนาดา	kenada	kɛ̄ nā dhā	加拿大	derived	
初 1	ยุโรป	yu rop	yu~ rōpˋ	歐洲	derived	
初 1	แอฟริกา	afrika	ɛ̄pˇ ri~ gā	非洲	derived	
初 1	เอเชีย	echia	ē chīa	亞洲	derived	
初 1	เอา...ไหม	au ... mai	au...maiˊ	要……嗎？	derived	
初 1	เอา / ไม่เอา	au / mai au	au / maiˋ au	要 / 不要	derived	
初 1	เอาอะไร	au arai	au aˇ rai	要甚麼？	derived	
初 1	กินไหม	gin mai	gin maiˊ	吃嗎？	derived	
初 1	กิน / ไม่กิน	gin / mai gin	gin / maiˋ gin	吃 / 不吃	derived	
初 1	กินอะไร	gin arai	gin aˇ rai	吃甚麼？	derived	
初 1	เอาได้ไหม	au dai mai	au dhaiˋ maiˊ	要（拿）得嗎？	derived	
初 1	เอาได้	au dai	au dhaiˋ	要（拿）得	derived	
初 1	เอาไม่ได้	au mai dai	au maiˋ dhaiˋ	不要（拿）得	derived	
初 1	กินได้ไหม	gin dai mai	gin dhaiˋ maiˊ	吃得嗎？	derived	
初 1	กินได้	gin dai	gin dhaiˋ	可以吃	derived	
初 1	กินไม่ได้	gin mai dai	gin maiˋ dhaiˋ	吃不得	derived	
初 1	ชอบ...ไหม	chop ... mai	chɔ̄pˋ...maiˊ	喜歡……嗎？	derived	
初 1	ชอบ / ไม่ชอบ	chop / mai chop	chɔ̄pˋ / maiˋ chɔ̄pˋ	喜歡 / 不喜歡	derived	
初 1	อยาก...ไหม	yaak ... mai	yākˋ...maiˊ	想要……嗎？	derived	
初 1	อยาก / ไม่อยาก	yaak / mai yaak	yākˋ / maiˋ yākˋ	想 / 不想	derived	
初 1	อยู่ไหม	yu mai	yūˋ maiˊ	在嗎？	derived	
初 1	ไปไหม	bai mai	bai maiˊ	去嗎？	derived	
初 1	มาไหม	maa mai	mā maiˊ	來嗎？	derived	
初 1	เดินไหม	dern mai	dhə̄n maiˊ	走嗎？	derived	
初 1	ดื่มไหม	duem mai	dhɯ̄mˇ maiˊ	喝嗎？	derived	
初 1	นั่งไหม	nang mai	nangˋ maiˊ	坐嗎？	derived	
初 1	นอนไหม	non mai	nɔ̄n maiˊ	睡嗎？	derived	
初 1	ซื้อไหม	seu mai	sɯ̄~ maiˊ	買嗎？	derived	
初 1	ทำไหม	tam mai	tam maiˊ	做嗎？	derived	
初 1	เรียนไหม	rian mai	rīan maiˊ	學嗎？	derived	
初 1	ฟังไหม	fang mai	fang maiˊ	聽嗎？	derived	
初 1	พูดไหม	phut mai	pūtˋ maiˊ	說嗎？	derived	
初 1	อ่านไหม	aan mai	ānˇ maiˊ	讀嗎？	derived	
初 1	เขียนไหม	kian mai	kīanˊ maiˊ	寫嗎？	derived	
初 1	อยู่ที่ไหน	yuu thi nai	yūˋ tīˋ naiˊ	在哪？	derived	
初 1	อยู่ตรงไหน	yuu trong nai	yūˋ drong naiˊ	在哪裡啊？（確切位置）	engine-auto	
初 1	อยู่ไหน	yu nai	yūˋ naiˊ	在哪裡？	derived	
初 1	ไปไหน	pai nai	bai naiˊ	去哪？	derived	
初 1	มาจากไหน	maa jak nai	mā jākˇ naiˊ	從哪來？	derived	
初 1	เดินไปไหน	dern pai nai	dhə̄n bai naiˊ	走去哪？	engine-auto	
初 1	ดื่มอะไร	duem arai	dhɯ̄mˇ aˇ rai	喝什麼？	derived	
初 1	นั่งที่ไหน	nang ti nai	nangˋ tīˋ naiˊ	坐在哪？	derived	
初 1	นอนที่ไหน	non ti nai	nɔ̄n tīˋ naiˊ	睡在哪？	derived	
初 1	ซื้อที่ไหน	seu ti nai	sɯ̄~ tīˋ naiˊ	在哪買？	derived	
初 1	ทำที่ไหน	tam ti nai	tam tīˋ naiˊ	在哪做？	derived	
初 1	เรียนที่ไหน	rian ti nai	rīan tīˋ naiˊ	在哪學？	derived	
初 1	ฟังจากไหน	fang jak nai	fang jākˇ naiˊ	從哪聽？	derived	
初 1	พูดได้ไหม	phut dai mai	pūtˋ dhaiˋ maiˊ	能說嗎？	derived	
初 1	อ่านได้ไหม	aan dai mai	ānˇ dhaiˋ maiˊ	能讀嗎？	derived	
初 1	เขียนที่ไหน	kian ti nai	kīanˊ tīˋ naiˊ	寫在哪？	derived	
初 1	อยู่ไกลไหม	yu glai mai	yūˋ glai maiˊ	在很遠嗎？	derived	
初 1	ไปนานไหม	pai nan mai	bai nān maiˊ	去很久嗎？	derived	
初 1	มานานไหม	maa nan mai	mā nān maiˊ	來很久嗎？	derived	
初 1	เดินนานไหม	dern nan mai	dhə̄n nān maiˊ	走很久嗎？	derived	
初 1	ดื่มนานไหม	duem nan mai	dhɯ̄mˇ nān maiˊ	喝很久嗎？	derived	
初 1	นั่งต่อไหม	nang to mai	nangˋ dɔ̄ˇ maiˊ	繼續坐嗎？	derived	
初 1	นอนพอไหม	non por mai	nɔ̄n pɔ̄ maiˊ	睡夠嗎？	derived	
初 1	ซื้อแพงไหม	sue phaeng mai	sɯ̄~ pɛ̄ng maiˊ	買貴嗎？	derived	
初 1	ทำยากไหม	tam yaak mai	tam yākˋ maiˊ	難做嗎？	derived	
初 1	เรียนยากไหม	rian yaak mai	rīan yākˋ maiˊ	難學嗎？	derived	
初 1	บางคน	fang tor mai	bhāng kon	繼續聽嗎？	derived	
初 1	พูดนานไหม	phut nan mai	pūtˋ nān maiˊ	講很久嗎？	derived	
初 1	อ่านออกไหม	aan ok mai	ānˇ ɔ̄kˇ maiˊ	讀得出來嗎？	engine-auto	
初 1	เขียนเป็นไหม	kian pen mai	kīanˊ ben maiˊ	會寫嗎？	derived	
初 1	ใจร้อน	jai ron	jai rɔ̄n~	性急	derived	
初 1	ใจเย็น	jai yen	jai yen	冷靜	derived	
初 1	ใจดี	jai dee	jai dhī	心地好	derived	
初 1	ใจร้าย	jai rai	jai rāi~	壞心	derived	
初 1	พอใจ	phor jai	pɔ̄ jai	滿意	engine-auto	
初 1	ดีใจ	dee jai	dhī jai	開心	derived	
初 1	สบายใจ	sabai jai	saˇ bhāi jai	心裡舒服	engine-auto	
初 1	เข้าใจ	khao jai	kāuˋ jai	了解	engine-auto	
初 1	มีเวลาไหม	mii we-laa mai	mī - wē lā maiˊ	有時間嗎？	book-assisted	
初 1	ข้าว	khao	kāuˋ	飯	engine-auto	
初 1	น้ำ	nam	nām~	水	engine-auto	
初 1	ชา	cha	chā	茶	derived	
初 1	หมี่	mii	mīˇ	麵	derived	
初 1	เส้นหมี่	sen mii	sēnˋ mīˇ	米粉	derived	
初 1	ก๋วยเตี๋ยว	kuay tiao	gūayˊ dīauˊ	粿條	derived	
初 1	วุ้นเส้น	wun sen	wun~ sēnˋ	粉絲	derived	
初 1	ข้าวเปล่า	khao plao	kāuˋ blāuˇ	白飯	engine-auto	
初 1	น้ำเปล่า	nam plao	nām~ blāuˇ	白開水	engine-auto	
初 1	ชาร้อน	cha ron	chā rɔ̄n~	熱茶	derived	
初 1	หมี่ผัด	mii phat	mīˇ patˇ	炒麵	derived	
初 1	เส้นหมี่ผัด	sen mii phat	sēnˋ mīˇ patˇ	炒米粉	derived	
初 1	ก๋วยเตี๋ยวผัด	kuay tiao phat	gūayˊ dīauˊ patˇ	炒粿條	derived	
初 1	วุ้นเส้นผัด	wun sen phat	wun~ sēnˋ patˇ	炒粉絲	derived	
初 1	ข้าวเหนียว	khao nio	kāuˋ nīauˊ	糯米飯	derived	
初 1	น้ำแข็ง	nam khaeng	nām~ kɛngˊ	冰塊	engine-auto	
初 1	ชาเย็น	cha yen	chā yen	冰茶	derived	
初 1	หมี่แห้ง	mii haeng	mīˇ hɛ̄ngˋ	乾麵	derived	
初 1	เส้นหมี่แห้ง	sen mii haeng	sēnˋ mīˇ hɛ̄ngˋ	乾米粉	derived	
初 1	ก๋วยเตี๋ยวแห้ง	kuay tiao haeng	gūayˊ dīauˊ hɛ̄ngˋ	乾粿條	derived	
初 1	วุ้นเส้นแห้ง	wun sen haeng	wun~ sēnˋ hɛ̄ngˋ	乾粉絲	derived	
初 1	ข้าวต้ม	khao tom	kāuˋ domˋ	燉飯	derived	
初 1	น้ำจิ้ม	nam jim	nām~ jimˋ	沾醬	derived	
初 1	ชานม	cha nom	chā nom	奶茶	derived	
初 1	หมี่น้ำ	mii nam	mīˇ nām~	湯麵	derived	
初 1	เส้นหมี่น้ำ	sen mii nam	sēnˋ mīˇ nām~	米粉湯麵	derived	
初 1	ก๋วยเตี๋ยวน้ำ	kuay tiao nam	gūayˊ dīauˊ nām~	粿條湯麵	derived	
初 1	วุ้นเส้นน้ำ	wun sen nam	wun~ sēnˋ nām~	粉絲湯麵	derived	
初 1	ตลาด	talat	daˇ lātˋ	市場	book-exact	(book-exact已用引擎重新驗證)
初 1	ตลาดน้ำ	talat nam	daˇ lātˋ nām~	水上市場	derived	
初 1	ตลาดสด	talat sot	daˇ lātˋ sotˇ	傳統市場	derived	
初 1	ตลาดหุ้น	talat hun	daˇ lātˋ hunˋ	股票市場	derived	
初 1	วัดพระแก้ว	wat phra kaeo	wat~ pra~ gɛ̄uˋ	玉佛寺	derived	
初 1	วัดโพธิ์	wat pho	wat~ pōtˋ	臥佛寺	derived	
初 1	วัดอรุณ	wat arun	wat~ aˇ run	鄭王廟	derived	
初 1	ศาลพระพรหม	san phra phrom	sānˊ pra~ pom	四面佛	derived	
初 1	สถานี	sathani	saˇ tāˊ nī	車站	engine-auto	
初 1	สถานีรถไฟ	sathani rot fai	saˇ tāˊ nī rot~ fai	火車站	engine-auto	
初 1	สถานีรถไฟฟ้า	sathani rot fai faa	saˇ tāˊ nī rot~ fai fā~	電車站	derived	
初 1	สถานีรถไฟฟ้าใต้ดิน	sathani rot fai faa tai din	saˇ tāˊ nī rot~ fai fā~ daiˋ dhin	地鐵站	derived	
初 1	ร้านอาหาร	raan aahaan	rān~ ā hānˊ	餐廳	engine-auto	
初 1	ร้านกาแฟ	raan ga-fae	rān~ gā fɛ̄	咖啡店	derived	
初 1	ร้านขายยา	raan khai ya	rān~ kāiˊ yā	藥局	derived	
初 1	ตลาดนัดจตุจักร	talat nat jatujak	daˇ lātˋ nat~ jaˇ duˇ jakˇ	洽圖洽市場	derived	
初 1	สวนลุมพินี	suan lumpini	sūanˊ lum pi~ nī	隆比尼公園	derived	
初 1	สุขุมวิท	sukhumwit	suˇ kumˊ wit~	蘇坤威	derived	
初 1	รถทัวร์	rot thua	rot~ tūa	長途巴士	derived	
初 1	ป้ายรถเมล์	pai rot mue	bāiˋ rot~ mē	公車站	derived	
初 1	เครื่องบิน	khrueng bin	krɯ̄angˋ bhin	飛機	derived	
初 1	สนามบิน	sanam bin	saˇ nām bhin	飛機場	derived	
初 1	เรือ	ruea	rɯ̄a	船	derived	
初 1	ท่าเรือ	tha ruea	tāˋ rɯ̄a	船碼頭	engine-auto	
初 1	นี่อะไร	ni arai	nīˋ aˇ rai	這是什麼？	derived	
初 1	คุณอยากกินอะไร	khun yak gin arai	kun yākˋ gin aˇ rai	你要吃什麼？	derived	
初 1	มีผัดไทยไหม	mi phat thai mai	mī - patˇ tai maiˊ	有炒泰麵嗎？	book-assisted	
初 1	เอาส้มตำไหม	ao som tam mai	au somˋ dam maiˊ	要不要青木瓜沙拉？	derived	
初 1	ฉัน/ผมเอา...	chan/pom ao ...	chanˊ/pomˊ au...	我要……	derived	
初 1	แล้วคุณล่ะ	laeo khun la	lɛ̄u~ kun laˋ	你呢？	derived	
初 1	ปูอบวุ้นเส้น	puu op wun sen	bū opˇ wun~ sēnˋ	蟹粉絲煲	derived	
初 1	ผัดผักบุ้ง	phat phak bung	patˇ pakˇ bhungˋ	炒空心菜	derived	
初 1	ผัดผักรวมมิตร	phat phak ruam mit	patˇ pakˇ rūam mit~	炒綜合蔬菜	derived	
初 1	ไก่เจียวหมูสับ	kai jiao muu sap	gaiˇ jīau mūˊ sapˇ	豬肉末煎蛋	derived	
初 1	ข้าวมันไก่	khao man gai	kāuˋ man gaiˇ	海南雞飯	engine-auto	
初 1	เป็ดย่าง	pet yang	betˇ yāngˋ	烤鴨	derived	
初 1	ข้าวขาหมู	khao kha muu	kāuˋ kāˊ mūˊ	豬腳飯	engine-auto	
初 1	เนื้อสด	nuea sot	nɯ̄a~ sotˇ	鮮牛肉	derived	
初 1	ต้มยำกุ้ง	tom yam goong	domˋ yam gungˋ	酸辣蝦湯	derived	
初 1	ข้าวผัดปู	khao phat puu	kāuˋ patˇ bū	蟹肉炒飯	derived	
初 1	น้ำปลา	nam pla	nām~ blā	魚露	derived	
初 1	ปลาหมึกย่าง	pla muek yang	blā mɯkˇ yāngˋ	烤花枝	derived	
初 1	อาหารทะเล	aahan thale	ā hānˊ ta~ lē	海鮮	derived	
初 1	หอยลวก	hoi luak	hɔ̄iˊ lūakˋ	燙血蛤	derived	
初 1	ผัด	phat / pha	patˇ	炒	derived	
初 1	ทอด	thot	tɔ̄tˋ	炸	derived	
初 1	ปิ้ง	ping	bingˋ	烤（小火）	derived	
初 1	ย่าง	yang	yāngˋ	烤（中火）	engine-auto	
初 1	เผา	phao	pāuˊ	烤（有殼）	derived	
初 1	นึ่ง	nueng	nɯngˋ	蒸	derived	
初 1	กะเพรา	kaphrao	gaˇ prāu	打拋	derived	
初 1	กระเทียม	kra thiam	graˇ tīam	蒜頭	derived	
初 1	มะนาว	ma nao	ma~ nāu	檸檬	engine-auto	
初 1	ผงกะหรี่	phong ga ri	pōngˊ gaˇ rīˇ	泰式咖哩	derived	
初 1	ปูผัดผงกะหรี่	puu phat phong ga ri	bū patˇ pōngˊ gaˇ rīˇ	泰式螃蟹咖哩炒	derived	
初 1	กุ้งผัดผงกะหรี่	kung phat phong ga ri	gungˋ patˇ pōngˊ gaˇ rīˇ	泰式咖哩炒蝦	derived	
初 1	ปลาหมึกทอดกระเทียม	pla muek thot kra thiam	blā mɯkˇ tɔ̄tˋ graˇ tīam	蒜頭炸花枝	derived	
初 1	หอยผัดเผ็ด	hoi phat phed	hɔ̄iˊ patˇ petˇ	辣炒蛤	derived	
初 1	ข้าวผัดกะเพราหมูไข่ดาว	khao phat kaprao muu khai dao	kāuˋ patˇ gaˇ prāu mūˊ kaiˇ dhāu	打拋豬飯＋荷包蛋	derived	
初 1	ข้าวผัดกะเพราไก่ไข่ดาว	khao phat kaprao gai khai dao	kāuˋ patˇ gaˇ prāu gaiˇ kaiˇ dhāu	打拋雞飯＋荷包蛋	derived	
初 1	ข้าวผัดกะเพราเนื้อไข่ดาว	khao phat kaprao nuea khai dao	kāuˋ patˇ gaˇ prāu nɯ̄a~ kaiˇ dhāu	打拋牛飯＋荷包蛋	derived	
初 1	ข้าวผัดกะเพราทะเลไข่ดาว	khao phat kaprao thale khai dao	kāuˋ patˇ gaˇ prāu ta~ lē kaiˇ dhāu	打拋海鮮飯＋荷包蛋	derived	
初 1	ข้าวผัดกะเพรากุ้งไข่ดาว	khao phat kaprao kung khai dao	kāuˋ patˇ gaˇ prāu gungˋ kaiˇ dhāu	打拋蝦飯＋荷包蛋	derived	
初 1	ข้าวผัดกะเพราปลาหมึกไข่ดาว	khao phat kaprao plaa muek khai dao	kāuˋ patˇ gaˇ prāu blā mɯkˇ kaiˇ dhāu	打拋魷魚飯＋荷包蛋	derived	
初 1	ไข่ไก่	khai gai	kaiˇ gaiˇ	雞蛋	derived	
初 1	ไข่เป็ด	khai pet	kaiˇ betˇ	鴨蛋	derived	
初 1	ไข่ปลา	khai plaa	kaiˇ blā	魚卵	derived	
初 1	ไข่ปู	khai puu	kaiˇ bū	蟹黃	derived	
初 1	ไข่เจียว	khai jiao	kaiˇ jīau	煎蛋	derived	
初 1	ไข่ดาว	khai dao	kaiˇ dhāu	荷包蛋	engine-auto	
初 1	ไข่นึ่ง	khai nueng	kaiˇ nɯngˋ	蒸蛋	derived	
初 1	ไข่ต้ม	khai tom	kaiˇ domˋ	白煮蛋	engine-auto	
初 1	ไข่เค็ม	khai khem	kaiˇ kem	鹹蛋	derived	
初 1	ไข่เยี่ยวม้า	khai yiao maa	kaiˇ yīauˋ mā~	皮蛋	derived	
初 1	เอาน้ำอะไรดี	ao nam arai dii	au nām~ aˇ rai dhī	要什麼飲料好？	derived	
初 1	เอาชาเย็นดีไหม	ao cha-yen dii mai	au chā yen dhī maiˊ	要泰奶好嗎？	derived	
初 1	เอาอะไรอีก	ao arai iik	au aˇ rai īkˇ	還要什麼？	derived	
初 1	มีกุ้งทอดมันหรือเปล่า	mii kung thot man rʉʉ plao	mī gungˋ tɔ̄tˋ man rɯ̄ˊ blāuˇ	有沒有炸蝦餅？	book-assisted	
初 1	มีทอดมันปลาหรือเปล่า	mii thot man plaa rʉʉ plao	mī tɔ̄tˋ man blā rɯ̄ˊ blāuˇ	有沒有炸魚餅？	book-assisted	
初 1	ฉันกินเจ	chan kin je	chanˊ gin jē	我吃素	derived	
初 1	มีอาหารเจไหม	mi aahan je mai	mī - ā hānˊ jē maiˊ	有素食嗎？	book-assisted	
初 1	ขอเมนูหน่อยค่ะ	kho menu noi ka	kɔ̄ˊ mē nū nɔ̄iˇ kaˋ	請給我菜單（禮貌）	derived	
初 1	เก็บเงิน	kep ngoen	gepˇ ngə̄n	收錢！（偏直接）	derived	
初 1	เก็บเงินด้วย	kep ngoen duai	gepˇ ngə̄n dhūayˋ	請收錢（較有禮貌）	derived	
初 1	เก็บตังค์	kep dang	gepˇ dang	收錢（口語、隨便講）	derived	
初 1	เช็คบิล	chek bin	chek~ bhin	check bill（最常用，誰都懂）	derived	
初 1	ยำไก่ทอด	yam gai thot	yam gaiˇ tɔ̄tˋ	泰式炸雞拌辣味酸甜沙拉	derived	
初 1	แกงไก่	kaeng gai	gɛ̄ng gaiˇ	泰式咖喱雞	derived	
初 1	แกงเขียวหวานไก่	kaeng khiao waan gai	gɛ̄ng kīauˊ wānˊ gaiˇ	綠咖哩雞	derived	
初 1	แกงแดงไก่	kaeng daeng gai	gɛ̄ng dhɛ̄ng gaiˇ	紅咖哩雞	derived	
初 1	แกงจืดไก่	kaeng juut / kaeng jued gai	gɛ̄ng jɯ̄tˇ gaiˇ	清雞湯	derived	
初 1	แกงจืดหมูสับ	kaeng juut muu sap	gɛ̄ng jɯ̄tˇ mūˊ sapˇ	豬肉末清湯	derived	
初 1	แกงจืดเต้าหู้หมูสับ	kaeng juut tao hu muu sap	gɛ̄ng jɯ̄tˇ dāuˋ hūˋ mūˊ sapˇ	豆腐豬肉末清湯	derived	
初 1	แกงจืดเต้าหู้สาหร่าย	kaeng juut tao hu saa rai	gɛ̄ng jɯ̄tˇ dāuˋ hūˋ sāˊ rāiˇ	豆腐紫菜清湯	derived	
初 1	ขนม	ka nom	kaˇ nom	點心	derived	
初 1	ขนมปัง	ka nom bang	kaˇ nom bang	麵包	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
初 1	ขนมเค้ก	ka nom kek	kaˇ nom kēk~	蛋糕	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
初 1	ขนมเปี๊ยะ	ka nom bia	kaˇ nom bīa~	中式餅	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
初 1	ชีส	chit	chītˋ	起士	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
初 1	ชีสเค้ก	chit kek	chītˋ kēk~	起士蛋糕	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
初 1	คุกกี้	kuk gi	kuk~ gīˋ	餅乾	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
初 1	ไอศกรีม	ai dim	ai saˇ grīm	冰淇淋	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
初 1	พุดดิ้ง	put ding	put~ dhingˋ	布丁	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
初 1	โยเกิร์ต	yogat	yō gə̄tˇ	優格	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
初 1	แยม	yem	yɛ̄m	果醬	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
初 1	เยลลี่	yen li	yēn līˋ	果凍	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
初 1	พายแอปเปิ้ล	pai ep pen	pāi ɛ̄pˇ bə̄nˋ	蘋果派	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
